"","SUNY at Buffalo  - North Campus","","","","",""
"","Building Utilities Cost & Consumption Report","","","","",""
"","Accounting Period: July 2013 to June 2014","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Building Code","Building Name","Use","Demand","Cost","Cost/Unit","Notes"
"","","","","","",""
"03-ALUMNI-A480","ALUMNI ARENA","391,865 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Feb","503290","1478.22","47485.957","0.094351083868148",""
"","","","","","",""
"","Mar","481640","1457.85","44950.9362","0.093328909974255",""
"","","","","","",""
"","Apr","277131","1159.39","20631.7642","0.074447695133348",""
"","","","","","",""
"","May","203020","1011.73","17917.5923","0.088255306373756",""
"","","","","","",""
"","Jun","166477","764.77","13249.5689","0.079587984526391",""
"","","","","","",""
"","","3966587","","332301.9535","0.083775284268314",""
"Buidling Total Cost","Buidling Total Cost","","","332301.9535","",""
"","","","","","",""
"","","","","","",""
"03-BEANE-A515","JOHN BEANE CENTER","60,444 SQFEET ","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","52470","131.17","3924.7062","0.074799050886221",""
"","","","","","",""
"","Aug","50280","120.09","3056.3084","0.060785767700875",""
"","","","","","",""
"","Sep","50241","216.63","3262.2757","0.064932539161243",""
"","","","","","",""
"","Oct","70881","415.36","4258.9693","0.060086190939744",""
"","","","","","",""
"","Nov","121022","456.51","8619.5128","0.071222693394589",""
"","","","","","",""
"","Dec","168532","472.95","11432.3302","0.067834774404861",""
"","","","","","",""
"","Jan","204611","562.46","25286.8859","0.1235851733289",""
"","","","","","",""
"","Feb","170785","501.26","16113.7499","0.094351084111602",""
"","","","","","",""
"","Mar","156192","488.78","14577.2291","0.093328909931367",""
"","","","","","",""
"","Apr","83202","414.33","6194.1971","0.074447694766953",""
"","","","","","",""
"","May","51488","333.81","4544.0892","0.08825530609074",""
"","","","","","",""
"","Jun","42757","168.14","3402.9434","0.079587983254204",""
"","","","","","",""
"","","1222461","","104673.1972","0.085624978792779",""
"Buidling Total Cost","Buidling Total Cost","","","104673.1972","",""
"","","","","","",""
"03-BELL-A210","BELL HALL","66,609 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","149393","303.16","11174.4547","0.07479905149505",""
"","","","","","","2011: Steady increase in usage since smart meters installed.  09-10 & 10-11: Small decrease in electric usage.  "
"","Aug","141582","352.28","8606.1706","0.060785767964854",""
"","","","","","",""
"","Sep","150765","363.51","9789.5543","0.064932539382483",""
"","","","","","",""
"","Oct","187182","491.79","11247.0533","0.060086190445663",""
"","","","","","",""
"","Nov","226218","639.24","16111.8552","0.071222693154391",""
"","","","","","",""
"","Dec","273623","720.15","18561.1544","0.06783477412352",""
"","","","","","",""
"","Jan","344673","689.98","42596.4725","0.12358517348327",""
"","","","","","",""
"","Feb","305070","669.9","28783.6852","0.094351084013505",""
"","","","","","",""
"","Mar","293855","675.93","27425.1668","0.093328909836484",""
"","","","","","",""
"","Apr","209457","566.71","15593.5909","0.074447695231002",""
"","","","","","",""
"","May","209020","465.02","18447.1241","0.088255306190795",""
"","","","","","",""
"","Jun","160080","350.86","12740.4445","0.079587984132934",""
"","","","","","",""
"","","2650918","","221076.7265","0.083396290077626",""
"Buidling Total Cost","Buidling Total Cost","","","221076.7265","",""
"","","","","","",""
"03-BISSLL-A452","BISSELL","9,105 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","17788","44.11","1330.5255","0.074799049921295","12-13:  M. Garguiolo, Electric Fueling Station Installed served by Bissell & Bonner"
"","","","","","",""
"","Aug","16759","37.62","1018.7087","0.060785768840623",""
"","","","","","",""
"","Sep","15023","40.72","975.4815","0.064932536776942",""
"","","","","","",""
"","Oct","14080","29.77","846.0136","0.060086193181818",""
"","","","","","",""
"","Nov","11751","23.17","836.9379","0.071222695940771",""
"","","","","","",""
"","Dec","13003","24.75","882.0556","0.067834776590018",""
"","","","","","",""
"","Jan","12987","26.85","1605.0006","0.12358516978517",""
"","","","","","",""
"","Feb","11837","26.47","1116.8338","0.094351085579116",""
"","","","","","",""
"","Mar","12461","23.01","1162.9715","0.093328906187304",""
"","","","","","",""
"","Apr","12332","26.33","918.089","0.07444769704833",""
"","","","","","",""
"","May","13226","25.83","1167.2647","0.088255307727204",""
"","","","","","",""
"","Jun","15222","34.8","1211.4883","0.079587984496124",""
"","","","","","",""
"","","166469","","13071.3707","0.078521350521719",""
"Commodity:","","Unit: CCF","","","",""
"","","","","","",""
"","Jul","65","","37.117","0.57103076923077",""
"","","","","","",""
"","Aug","103","","56.5311","0.54884563106796",""
"","","","","","",""
"","Sep","188","","99.5487","0.52951436170213",""
"","","","","","",""
"","Oct","303","","157.2375","0.51893564356436",""
"","","","","","",""
"","Nov","518","","256.779","0.49571235521236",""
"","","","","","",""
"","Dec","919","","488.9437","0.53203884657236",""
"","","","","","",""
"","Jan","1134","","640.5611","0.56486869488536",""
"","","","","","",""
"","Feb","887","","543.1574","0.61235332581736",""
"","","","","","",""
"","Mar","810","","471.8452","0.5825249382716",""
"","","","","","",""
"","Apr","379","","235.2885","0.62081398416887",""
"","","","","","",""
"","May","180","","112.1987","0.62332611111111",""
"","","","","","",""
"","Jun","118","","75.6911","0.64145",""
"","","","","","",""
"","","5604","","3174.899","0.56654157744468",""
"Buidling Total Cost","Buidling Total Cost","","","16246.2697","",""
"","","","","","",""
"03-BONNER-A420","BONNER HALL","70,884 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","90304","168.64","6754.6536","0.074799052090716","12-13:  M. Garguiolo, Electric Fueling Station Installed served by Bissell & Bonner"
"","","","","","",""
"","Aug","95068","180.22","5778.7814","0.060785768081794",""
"","","","","","",""
"","Sep","98548","191.46","6398.9719","0.06493253947315",""
"","","","","","",""
"","Oct","109135","224.54","6557.5064","0.060086190498007",""
"","","","","","",""
"","Nov","133142","256.8","9482.7318","0.071222693064548",""
"","","","","","",""
"","Dec","147971","269.76","10037.5794","0.067834774381467",""
"","","","","","",""
"","Jan","159457","285.96","19706.521","0.12358517343234",""
"","","","","","",""
"","Feb","142444","269.73","13439.7458","0.094351083934739",""
"","","","","","",""
"","Mar","146610","269.17","13682.9515","0.093328910033422",""
"","","","","","",""
"","Apr","107577","223.9","8008.8597","0.074447695139296",""
"","","","","","",""
"","May","78609","156.07","6937.6614","0.088255306644277",""
"","","","","","",""
"","Jun","67577","142.66","5378.3172","0.079587984077423",""
"","","","","","",""
"","","1376442","","112164.2811","0.081488563339392",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","279","","159.32","0.5710394265233",""
"","","","","","",""
"","Aug","410","","225.03","0.54885365853659",""
"","","","","","",""
"","Sep","899","","476.03","0.529510567297",""
"","","","","","",""
"","Oct","2030","","1053.44","0.51893596059113",""
"","","","","","",""
"","Nov","4249","","2106.28","0.49571193221935",""
"","","","","","",""
"","Dec","6647","","3536.46","0.53203851361516",""
"","","","","","",""
"","Jan","9250","","5225.04","0.56486918918919",""
"","","","","","",""
"","Feb","7145","","4375.26","0.61235269419174",""
"","","","","","",""
"","Mar","5737","","3341.95","0.58252571030155",""
"","","","","","",""
"","Apr","2207","","1370.14","0.62081558676937",""
"","","","","","",""
"","May","1190","","741.76","0.62332773109244",""
"","","","","","",""
"","Jun","587","","376.53","0.64144804088586",""
"","","","","","",""
"","","40630","","22987.24","0.56577012060054",""
"Buidling Total Cost","Buidling Total Cost","","","135151.5211","",""
"","","","","","",""
"03-CFA-A570","CENTER FOR THE ARTS (CFA)","301,451 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","273147","591.97","20431.1366","0.074799051792624",""
"","","","","","",""
"","Aug","281445","613.65","17107.8505","0.06078576808968",""
"","","","","","",""
"","Sep","275253","874.98","17872.8763","0.064932539518189",""
"","","","","","",""
"","Oct","333029","770.47","20010.4439","0.060086190391828",""
"","","","","","",""
"","Nov","310372","796.64","22105.5297","0.071222693090872",""
"","","","","","",""
"","Dec","303779","803.78","20606.7799","0.067834774293154",""
"","","","","","",""
"","Jan","316856","655.17","39158.7037","0.12358517339107",""
"","","","","","",""
"","Feb","318265","764.52","30028.6477","0.094351083845223",""
"","","","","","",""
"","Mar","340118","797.05","31742.8422","0.093328909966541",""
"","","","","","",""
"","Apr","317778","882.13","23657.8397","0.074447695246367",""
"","","","","","",""
