"","SUNY at Buffalo  - North Campus","","","","",""
"","Building Utilities Cost & Consumption Report","","","","",""
"","Accounting Period: July 2013 to June 2014","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Building Code","Building Name","Use","Demand","Cost","Cost/Unit","Notes"
"","","","","","",""
"03-ALUMNI-A480","ALUMNI ARENA","391,865 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","","","","","",""
"","Oct","40278.84","157.69","2420.202","0.060086189175259",""
"","","","","","",""
"","Nov","39088.05","112.29","2783.9561","0.071222690822387",""
"","","","","","",""
"","Dec","38531.56","109.93","2613.7795","0.067834769731617",""
"","","","","","",""
"","Jan","40552.84","115.23","5011.7299","0.12358517677184",""
"","","","","","",""
"","Feb","40719.17","120.02","3841.8979","0.094351085741679",""
"","","","","","",""
"","Mar","41193.22","115.34","3844.5183","0.093328909466169",""
"","","","","","",""
"","Apr","36852.5","116.02","2743.5837","0.074447695543043",""
"","","","","","",""
"","May","39191.66","170.34","3458.8718","0.088255302276045",""
"","","","","","",""
"","Jun","50398.55","218.78","4011.1191","0.0795879861623",""
"","","","","","",""
"","","514861.34","","40690.5594","0.07903207376184",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","1272","","726.35","0.57102987421384","13-14: Big increase in gas - very cold winter."
"","","","","","",""
"","Aug","981","","538.42","0.54884811416922",""
"","","","","","",""
"","Sep","2421","","1281.95","0.52951259809996",""
"","","","","","",""
"","Oct","3958","","2053.95","0.51893633148055",""
"","","","","","",""
"","Nov","7608","","3771.38","0.49571240799159",""
"","","","","","",""
"","Dec","11632","","6188.68","0.53203920220083",""
"","","","","","",""
"","Jan","18538","","10471.54","0.56486891789837",""
"","","","","","",""
"","Feb","9524","","5832.05","0.61235300293994",""
"","","","","","",""
"","Mar","10393","","6054.18","0.58252477629173",""
"","","","","","",""
"","Apr","5466","","3393.37","0.62081412367362",""
"","","","","","",""
"","May","2688","","1675.5","0.62332589285714",""
"","","","","","",""
"","Jun","1408","","903.16","0.64144886363636",""
"","","","","","",""
"","","75889","","42890.53","0.56517453122323",""
"Buidling Total Cost","Buidling Total Cost","","","83581.0894","",""
"","","","","","",""
"03-CROFTS-A270","CROFTS HALL","78,457 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","136521","","10211.64","0.074799041905641",""
"","","","","","",""
"","Aug","118892","","7226.94","0.060785755139118",""
"","","","","","",""
"","Sep","123933","","8047.28","0.064932503852888",""
"","","","","","",""
"","Oct","123009","","7391.14","0.06008617255648",""
"","","","","","",""
"","Nov","159637","","11369.78","0.071222711526776",""
"","","","","","",""
"","Dec","194838","","13222.34","0.067863250495283",""
"","","","","","",""
"","Jan","243984","","30152.8","0.1235851531248",""
"","","","","","",""
"","Feb","212440","","20043.94","0.094351063829787",""
"","","","","","",""
"","Mar","206800","","19300.42","0.093328916827853",""
"","","","","","",""
"","Apr","146066","","10874.28","0.074447715416319",""
"","","","","","",""
"","May","136495","","12046.41","0.088255320707718",""
"","","","","","",""
"","Jun","125372","","9978.1","0.079587946271895",""
"","","","","","",""
"","","1927987","","159865.07","0.082918126522637",""
"Buidling Total Cost","Buidling Total Cost","","","159865.07","",""
"","","","","","",""
"03-DAVIS-A435","Davis Hall School of Engineering & Applied Science","146,911 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","404033.89","3825","30221.3519","0.074799051881514","New Build: Occupancy began spring 2012"
"","","","","","",""
"","Aug","340392","21.41","20690.99","0.060785770523397",""
"","","","","","",""
"","Sep","368200","21.02","23908.16","0.064932536664856",""
"","","","","","",""
"","Oct","393728.4","696.3","23657.6396","0.060086190378952",""
"","","","","","",""
"","Nov","378738.46","0","26974.7731","0.071222693095388",""
"","","","","","",""
"","Dec","382479.38","0","25945.4023","0.067834773994875",""
"","","","","","",""
"","Jan","380848.16","0","47067.1858","0.12358517315667",""
"","","","","","",""
"","Feb","349775.56","0","33001.7032","0.094351083877902",""
"","","","","","",""
"","Mar","363244.41","0","33901.2048","0.093328909865399",""
"","","","","","",""
"","Apr","375629.74","0","27964.7684","0.074447695222428",""
"","","","","","",""
"","May","420343.18","0","37097.516","0.088255306057303",""
"","","","","","",""
"","Jun","395532.51","0","31479.6351","0.07958798405724",""
"","","","","","",""
"","","4552945.69","","361910.3302","0.079489270209151",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","945","","539.6235","0.57103015873016","New Build: Occupancy began spring 2012"
"","","","","","",""
"","Aug","873","","479.1422","0.54884558991982",""
"","","","","","",""
"","Sep","1447","","766.2074","0.52951444367657",""
"","","","","","",""
"","Oct","2167","","1124.5337","0.51893571758191",""
"","","","","","",""
"","Nov","4643","","2301.5924","0.49571234115873",""
"","","","","","",""
"","Dec","7984","","4247.7982","0.53203885270541",""
"","","","","","",""
"","Jan","9621","","5434.6016","0.56486868308908",""
"","","","","","",""
"","Feb","9106","","5576.0897","0.6123533604217",""
"","","","","","",""
"","Mar","7719","","4496.5102","0.58252496437362",""
"","","","","","",""
"","Apr","3153","","1957.4263","0.6208139232477",""
"","","","","","",""
"","May","1496","","932.4957","0.6233260026738",""
"","","","","","",""
"","Jun","1081","","693.4078","0.64145032377428",""
"","","","","","",""
"","","50235","","28549.4287","0.56831748183537",""
"Buidling Total Cost","Buidling Total Cost","","","390459.7589","",""
"","","","","","",""
"03-DORSHE-A400","DORSHEIMER GREENHOUSE","8,800 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","47000","0","3515.56","0.07479914893617",""
"","","","","","",""
"","Aug","53505.39","0","3252.3662","0.060785767564726",""
"","","","","","",""
"","Sep","52347.95","0","3399.0853","0.064932538905535",""
"","","","","","",""
"","Oct","60142.94","0","3613.7601","0.060086189667482",""
"","","","","","",""
"","Nov","77301.87","0","5505.6474","0.071222693577788",""
"","","","","","",""
"","Dec","94990.19","0","6443.6381","0.067834774306694",""
"","","","","","",""
"","Jan","110584","0","13666.5428","0.12358517326195",""
"","","","","","",""
"","Feb","89163.56","0","8412.6785","0.094351083559248",""
"","","","","","",""
"","Mar","82250.5","0","7676.3495","0.093328909854651",""
"","","","","","",""
"","Apr","68281.75","0","5083.4189","0.07444769502832",""
"","","","","","",""
"","May","50796.75","0","4483.0827","0.088255305703613",""
"","","","","","",""
"","Jun","38128.06","0","3034.5354","0.079587983233346",""
"","","","","","",""
"","","824492.96","","68086.6649","0.082580043982425",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","115","","65.6685","0.57103043478261",""
"","","","","","",""
"","Aug","232","","127.3322","0.54884568965517",""
"","","","","","",""
"","Sep","19","","10.0608","0.52951578947368",""
"","","","","","",""
"","Oct","58","","30.0983","0.51893620689655",""
"","","","","","",""
"","Nov","302","","149.7051","0.49571225165563",""
"","","","","","",""
"","Dec","587","","312.3068","0.53203884156729",""
"","","","","","",""
"","Jan","1229","","694.2236","0.56486867371847",""
"","","","","","",""
"","Feb","823","","503.9668","0.61235334143378",""
"","","","","","",""
"","Mar","639","","372.2335","0.58252503912363",""
"","","","","","",""
"","Apr","332","","206.1102","0.62081385542169",""
"","","","","","",""
"","May","157","","97.8622","0.62332611464968",""
"","","","","","",""
"","Jun","364","","233.4879","0.64145027472527",""
"","","","","","",""
"","","4857","","2803.0559","0.57711671813877",""
"Buidling Total Cost","Buidling Total Cost","","","70889.7208","",""
"","","","","","",""
"03-FARGO-A141","FARGO","140,395 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","92235","192.53","6899.0905","0.074799051336261",""
"","","","","","",""
"","Aug","102255","265.6","6215.6487","0.060785767933108",""
"","","","","","",""
"","Sep","127887","287.7","8304.0277","0.064932539663922",""
"","","","","","",""
"","Oct","173659","491.08","10434.5077","0.060086190177301",""
"","","","","","",""
"","Nov","311778","744.1","22205.6688","0.071222693070069",""
"","","","","","",""
"","Dec","326673","0","22159.7892","0.067834774223765",""
"","","","","","",""
"","Jan","452826","0","55962.5797","0.12358517333369",""
"","","","","","",""
"","Feb","452826","1051.61","42724.6239","0.094351083860026",""
"","","","","","",""
"","Mar","392407","868.52","36622.9176","0.093328910034734",""
"","","","","","",""
"","Apr","246980","627.97","18387.0918","0.074447695359948",""
"","","","","","",""
"","May","149966","484.64","13235.2953","0.088255306536148",""
"","","","","","",""
"","Jun","84370","164.56","6714.8382","0.079587983880526",""
"","","","","","",""
"","","2913862","","249866.0791","0.085750827973322",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","280","","159.8884","0.57103","13-14 very cold winter"
"","","","","","",""
"","Aug","383","","210.2078","0.5488454308094",""
"","","","","","",""
"","Sep","1743","","922.9437","0.52951445783133",""
"","","","","","",""
"","Oct","2209","","1146.3291","0.51893576278859",""
"","","","","","",""
"","Nov","2783","","1379.5675","0.49571236076177",""
"","","","","","",""
"","Dec","3132","","1666.3457","0.53203885696041",""
"","","","","","",""
"","Jan","3356","","1895.6993","0.5648686829559",""
"","","","","","",""
"","Feb","4975","","3046.458","0.61235336683417",""
"","","","","","",""
"","Mar","4002","","2331.2649","0.58252496251874",""
"","","","","","",""
"","Apr","2989","","1855.6129","0.62081395115423",""
"","","","","","",""
"","May","1570","","978.6219","0.62332605095541",""
"","","","","","",""
"","Jun","470","","301.4817","0.64145042553191",""
"","","","","","",""
"","","27892","","15894.4209","0.56985590491897",""
"Buidling Total Cost","Buidling Total Cost","","","265760.5","",""
"","","","","","",""
"03-FILMOR-A142","Millard Fillmore Academic Core  (MFAC)","200,045 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","331797","985.8","24818.1009","0.074799051528495",""
"","","","","","",""
"","Aug","321250","986.5","19527.4281","0.060785768404669",""
"","","","","","",""
"","Sep","323252","1025.17","20989.5733","0.064932539628525",""
"","","","","","",""
"","Oct","331083","955.41","19893.5162","0.060086190471876",""
"","","","","","",""
"","Nov","468133","1141.44","33341.693","0.071222693123535",""
"","","","","","",""
"","Dec","565146","1262.56","38336.5513","0.067834774199941",""
"","","","","","",""
"","Jan","653845","1362.39","80805.5477","0.12358517339736",""
"","","","","","",""
"","Feb","590955","1158.05","55757.2448","0.09435108392348",""
"","","","","","",""
"","Mar","579946","1101.77","54125.7281","0.093328910105424",""
"","","","","","",""
"","Apr","397253","851.55","29574.5703","0.074447695297455",""
"","","","","","",""
"","May","241022","659.93","21271.4704","0.088255306154625",""
"","","","","","",""
"","Jun","175573","432.11","13973.5012","0.079587984485086",""
"","","","","","",""
"","","4979255","","412414.9253","0.082826632759318",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","486.9","","278.0346","0.57103019100431",""
"","","","","","",""
"","Aug","1120.1","","614.7619","0.54884554950451",""
"","","","","","",""
"","Sep","3309","","1752.1633","0.5295144454518",""
"","","","","","",""
"","Oct","4652.7","","2414.4522","0.51893571474628",""
"","","","","","",""
"","Nov","7386.4","","3661.5297","0.49571234972382",""
"","","","","","",""
"","Dec","8756.3","","4658.6919","0.53203886344689",""
"","","","","","",""
"","Jan","9485.5","","5358.0619","0.56486868378051",""
"","","","","","",""
"","Feb","10468.9","","6410.6661","0.61235336090707",""
"","","","","","",""
"","Mar","9118","","5311.4627","0.58252497258171",""
"","","","","","",""
"","Apr","5697.6","","3537.1495","0.62081393920247",""
"","","","","","",""
"","May","2457.7","","1531.9484","0.62332603653823",""
"","","","","","",""
"","Jun","676.2","","433.7487","0.64145031055901",""
"","","","","","",""
"","","63615.3","","35962.6709","0.56531480477181",""
"Buidling Total Cost","Buidling Total Cost","","","448377.5962","",""
"","","","","","",""
"03-FLT300-A730-310-A724","Flint Village","232,875 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","139648","455.44","10445.5381","0.074799052618011",""
"","","","","","",""
"","Aug","117988","464.71","7171.9912","0.060785768044208",""
"","","","","","",""
"","Sep","127614","479.99","8286.301","0.064932538749667",""
"","","","","","",""
"","Oct","117124","409.83","7037.535","0.060086190703869",""
"","","","","","",""
"","Nov","116647","302.78","8307.9135","0.071222693254006",""
"","","","","","",""
"","Dec","122743","315.9","8326.2438","0.067834775099191",""
"","","","","","",""
"","Jan","123007","326.36","14558.2533","0.11835304738755",""
"","","","","","",""
"","Feb","130312","336.5","12295.0784","0.094351083553318",""
"","","","","","",""
"","Mar","127144","350.26","11866.2111","0.093328911313157",""
"","","","","","",""
"","Apr","101650","290.45","7567.6082","0.074447695031972",""
"","","","","","",""
"","May","97904","424.67","8640.5476","0.088255307239745",""
"","","","","","",""
"","Jun","79650","377.39","6339.1828","0.079587982423101",""
"","","","","","",""
"","","1401431","","110842.404","0.079092302082657",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","1571","","897.09","0.57103119032463","13-14 very cold winter"
"","","","","","",""
"","Aug","2037","","1118","0.54884634266078",""
"","","","","","",""
"","Sep","2197","","1163.34","0.52951297223487",""
"","","","","","",""
"","Oct","4040","","2096.5","0.51893564356436",""
"","","","","","",""
"","Nov","7149","","3543.85","0.4957126870891",""
"","","","","","",""
"","Dec","9323","","4960.2","0.53203904322643",""
"","","","","","",""
"","Jan","12142","","6858.64","0.56486904957997",""
"","","","","","",""
"","Feb","11723","","7178.62","0.61235349313316",""
"","","","","","",""
"","Mar","10728","","6249.33","0.58252516778523",""
"","","","","","",""
"","Apr","6798","","4220.29","0.62081347455134",""
"","","","","","",""
"","May","4022","","2507.02","0.62332670313277",""
"","","","","","",""
"","Jun","503","","322.65","0.64145129224652",""
"","","","","","",""
"","","72233","","41115.53","0.5692070106461",""
"Buidling Total Cost","Buidling Total Cost","","","151957.934","",""
"","","","","","",""
"03-FRNCZK-A150","FRONCZAK HALL","135,905 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","253704","569.69","18976.8186","0.074799051650743",""
"","","","","","",""
"","Aug","249141","563.44","15144.2271","0.060785768299878",""
"","","","","","",""
"","Sep","251748","700.5","16346.6369","0.064932539285317",""
"","","","","","",""
"","Oct","299746","726.23","18010.5952","0.060086190307794",""
"","","","","","",""
"","Nov","343136","1062.52","24439.07","0.071222693042992",""
"","","","","","",""
"","Dec","432556","878.94","29342.3386","0.067834774225765",""
"","","","","","",""
"","Jan","487943","871.32","60302.5202","0.12358517326819",""
"","","","","","",""
"","Feb","434221","896.52","40969.222","0.094351083895067",""
"","","","","","",""
"","Mar","542860","1212.67","50664.5321","0.093328910032052",""
"","","","","","",""
"","Apr","323808","844.57","24106.7593","0.074447695239154",""
"","","","","","",""
"","May","277670","832.01","24505.8508","0.088255305938704",""
"","","","","","",""
"","Jun","249148","251.38","19829.1871","0.079587984250325",""
"","","","","","",""
"","","4145681","","342637.7579","0.082649330206545",""
"Buidling Total Cost","Buidling Total Cost","","","342637.7579","",""
"","","","","","",""
"03-FURNAS-A250","FURNAS HALL","104,915 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","256058","654.83","19152.8956","0.074799051777332",""
"","","","","","",""
"","Aug","255974","673.08","15559.5763","0.060785768476486",""
"","","","","","",""
"","Sep","273324","671.98","17747.6215","0.064932539769651",""
"","","","","","",""
"","Oct","319964","718.43","19225.4178","0.060086190321411",""
"","","","","","",""
"","Nov","388844","683.27","27694.5169","0.071222693162296",""
"","","","","","",""
"","Dec","434679","724.54","29486.3518","0.067834774166684",""
"","","","","","",""
"","Jan","458034","1137.09","56606.2113","0.12358517337141",""
"","","","","","",""
"","Feb","402572","796.49","37983.1046","0.094351084029689",""
"","","","","","",""
"","Mar","397289","730.76","37078.5493","0.093328909937099",""
"","","","","","",""
"","Apr","328461","670.19","24453.1644","0.074447695160156",""
"","","","","","",""
"","May","269530","571.17","23787.4527","0.088255306273884",""
"","","","","","",""
"","Jun","240162","483.45","19114.0095","0.079587984360557",""
"","","","","","",""
"","","4024891","","327888.8717","0.081465279854784",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","2225","","1270.542","0.57103011235955","12-13:  Per J Russo March 2013 new line PRV serving  bldg equip in Furnas,  could explain additional usage in Furnas after Davis & Jarvis are subtracted..  Additional usage of ~ 3,000 to 4,500 ccf per mo, email C Martin asking if this sounds reasonable? "
"","","","","","",""
"","Aug","2467","","1354.002","0.54884556141062",""
"","","","","","",""
"","Sep","4393","","2326.157","0.52951445481448",""
"","","","","","",""
"","Oct","8383","","4350.2382","0.51893572706668",""
"","","","","","",""
"","Nov","23197","","11499.0393","0.49571234642411",""
"","","","","","",""
"","Dec","39456","","20992.1252","0.53203885847526",""
"","","","","","",""
"","Jan","52149","","29457.3367","0.56486867821051",""
"","","","","","",""
"","Feb","42884","","26260.1615","0.61235336022759",""
"","","","","","",""
"","Mar","37031","","21571.4821","0.58252496826983",""
"","","","","","",""
"","Apr","13507","","8385.3338","0.62081393351595",""
"","","","","","",""
"","May","6774","","4222.4106","0.62332604074402",""
"","","","","","",""
"","Jun","2989","","1917.2951","0.64145035128806",""
"","","","","","",""
"","","235455","","133606.1235","0.56743803911575",""
"Buidling Total Cost","Buidling Total Cost","","","461494.9952","",""
"","","","","","",""
"03-GOV-A171-A174","GOVERNORS RES.- Clintion, Dewey,Lehman,Roosevelt","230,025 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","109967","205.9","8225.4273","0.074799051533642",""
"","","","","","","13-14: ele up 19%  gas down 11%"
"","Aug","151929","360.92","9235.121","0.060785768352322",""
"","","","","","",""
"","Sep","463328","1284.24","30085.0637","0.064932539583189",""
"","","","","","",""
"","Oct","381774","1197.65","22939.3452","0.060086190259159",""
"","","","","","",""
"","Nov","571067","1433.26","40672.9297","0.071222693134081",""
"","","","","","",""
"","Dec","631536","1575.96","42840.1019","0.067834774106306",""
"","","","","","",""
"","Jan","827511","1750.15","102268.0904","0.1235851733693",""
"","","","","","",""
"","Feb","843928","1782.29","79625.5215","0.094351083860235",""
"","","","","","",""
"","Mar","793026","1695.45","74012.2522","0.093328910023127",""
"","","","","","",""
"","Apr","533758","1249.2","39737.0529","0.074447695210189",""
"","","","","","",""
"","May","273163","989.53","24108.0842","0.088255306172505",""
"","","","","","",""
"","Jun","74827","288.35","5955.3301","0.079587984283748",""
"","","","","","",""
"","","5655814","","479704.3201","0.084816141425443",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","409","","233.55","0.57102689486553","13-14: ele up 19%  gas down 11%"
"","","","","","",""
"","Aug","3137","","1721.73","0.54884603124004",""
"","","","","","",""
"","Sep","4189","","2218.14","0.52951539746956",""
"","","","","","",""
"","Oct","5138","","2666.29","0.51893538341767",""
"","","","","","",""
"","Nov","8231","","4080.21","0.49571255011542",""
"","","","","","",""
"","Dec","7325","","3897.18","0.53203822525597",""
"","","","","","",""
"","Jan","9784","","5526.68","0.5648691741619",""
"","","","","","",""
"","Feb","10490","","6423.59","0.61235367016206",""
"","","","","","",""
"","Mar","9596","","5589.91","0.58252501042101",""
"","","","","","",""
"","Apr","7407","","4598.37","0.62081409477521",""
"","","","","","",""
"","May","3103","","1934.18","0.62332581372865",""
"","","","","","",""
"","Jun","92","","59.01","0.64141304347826",""
"","","","","","",""
"","","68901","","38948.84","0.56528700599411",""
"Buidling Total Cost","Buidling Total Cost","","","518653.1601","",""
"","","","","","",""
"03-GREIN-A140","Greiner Hall","198,210 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","111306","0","8325.5833","0.074799052162507","New build - occupancy began Fall 2011 "
"","","","","","",""
"","Aug","108672","230.7","6605.71","0.060785758981154",""
"","","","","","",""
"","Sep","163873.39","195","10640.7154","0.064932539688109",""
"","","","","","",""
"","Oct","160504.36","194","9644.0955","0.060086190181999",""
"","","","","","",""
"","Nov","140684.85","147.9","10019.9539","0.071222693132914",""
"","","","","","",""
"","Dec","135134.95","160.2","9166.8488","0.06783477405364",""
"","","","","","",""
"","Jan","107166.1","161.1","13244.141","0.12358517292315",""
"","","","","","",""
"","Feb","139784.73","152.7","13188.8408","0.094351083984638",""
"","","","","","",""
"","Mar","140793.35","0","13140.0899","0.09332891006571",""
"","","","","","",""
"","Apr","149227.29","0","11109.6278","0.074447695190337",""
"","","","","","",""
"","May","132511.61","0","11694.8527","0.088255306082237",""
"","","","","","",""
"","Jun","105660.96","0","8409.3428","0.079587984057688",""
"","","","","","",""
"","","1595319.59","","125189.8019","0.078473180348773",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","950","","542.4786","0.57103010526316","New build - occupancy began Fall 2011 "
"","","","","","",""
"","Aug","850","","466.5187","0.54884552941176",""
"","","","","","",""
"","Sep","2770","","1466.755","0.52951444043321",""
"","","","","","",""
"","Oct","5850","","3035.774","0.51893572649573",""
"","","","","","",""
"","Nov","9740","","4828.2382","0.49571234086242",""
"","","","","","",""
"","Dec","15890","","8454.0975","0.53203886091882",""
"","","","","","",""
"","Jan","20080","","11342.5631","0.56486868027888",""
"","","","","","",""
"","Feb","22430","","13735.0859","0.61235336156933",""
"","","","","","",""
"","Mar","18520","","10788.3624","0.58252496760259",""
"","","","","","",""
"","Apr","6640","","4122.2045","0.62081393072289",""
"","","","","","",""
"","May","3840","","2393.572","0.62332604166667",""
"","","","","","",""
"","Jun","750","","481.0878","0.6414504",""
"","","","","","",""
"","","108310","","61656.7377","0.56926172744899",""
"Buidling Total Cost","Buidling Total Cost","","","186846.5396","",""
"","","","","","",""
"03-HAD090-A090-A113","Hadley Village","217,306 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","97039","300.58","7258.4254","0.074799053988603",""
"","","","","","",""
"","Aug","117574","447.18","7146.826","0.060785768962526",""
"","","","","","",""
"","Sep","143316","485.18","9305.8718","0.06493253928382",""
"","","","","","",""
"","Oct","143340","392.14","8612.7545","0.060086190177201",""
"","","","","","",""
"","Nov","187836","405.9","13378.1857","0.071222692668072",""
"","","","","","",""
"","Dec","194181","368.2","13172.2242","0.067834773742024",""
"","","","","","",""
"","Jan","200607","406.19","24792.0511","0.12358517449541",""
"","","","","","",""
"","Feb","206756","349783.05","19507.6527","0.09435108388632",""
"","","","","","",""
"","Mar","212837","407.95","19863.845","0.093328908977292",""
"","","","","","",""
"","Apr","156793","340.86","11672.8776","0.074447696006837",""
"","","","","","",""
"","May","126064","408.83","11125.8169","0.08825530603503",""
"","","","","","",""
"","Jun","81068","300.03","6452.0387","0.079587984161445",""
"","","","","","",""
"","","1867411","","152288.5696","0.081550643966433",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","1331","","760.0411","0.57103012772352","13-14: very cold winter."
"","","","","","",""
"","Aug","1513","","830.4033","0.5488455386649",""
"","","","","","",""
"","Sep","3501","","1853.8301","0.52951445301342",""
"","","","","","",""
"","Oct","4262","","2211.704","0.51893571093383",""
"","","","","","",""
"","Nov","6179","","3063.0066","0.49571234827642",""
"","","","","","",""
"","Dec","7995","","4253.6507","0.53203886178862",""
"","","","","","",""
"","Jan","8476","","4787.8269","0.56486867626239",""
"","","","","","",""
"","Feb","9990","","6117.4101","0.61235336336336",""
"","","","","","",""
"","Mar","9074","","5285.8316","0.58252497244875",""
"","","","","","",""
"","Apr","5313","","3298.3844","0.62081392810088",""
"","","","","","",""
"","May","4287","","2672.1987","0.62332603219034",""
"","","","","","",""
"","Jun","758","","486.2194","0.64145039577836",""
"","","","","","",""
"","","62679","","35620.5069","0.56830049777437",""
"Buidling Total Cost","Buidling Total Cost","","","187909.0765","",""
"","","","","","",""
"03-HELM-A535","HELM","62,244 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","31528","","2358.26","0.074798908906369","Winter 2010 Helm infrareds heating installed include garage area behind garage. Decrease in electric increased gas usage."
"","","","","","",""
"","Aug","32068","","1949.28","0.060785830111014",""
"","","","","","",""
"","Sep","26538","","1723.18","0.064932549551586",""
"","","","","","",""
"","Oct","31143","","1871.26","0.060086054651125",""
"","","","","","",""
"","Nov","49903","","3554.23","0.071222772178025",""
"","","","","","",""
"","Dec","58810","","3991.04","0.067863288556368",""
"","","","","","",""
"","Jan","87314","","10790.72","0.12358522115583",""
"","","","","","",""
"","Feb","69885","","6593.73","0.094351148315089",""
"","","","","","",""
"","Mar","71603","","6682.63","0.093328910799827",""
"","","","","","",""
"","Apr","47590","","3542.97","0.07444778314772",""
"","","","","","",""
"","May","35113","","3098.91","0.08825534702247",""
"","","","","","",""
"","Jun","27400","","2180.71","0.07958795620438",""
"","","","","","",""
"","","568895","","48336.92","0.084966329463258",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","1","","18.4","18.4","Winter 2010 Helm infrareds heating installed include garage area behind garage. Decrease in electric/ increased gas usage.  Total utility cost decreased due to Nat Gas heating less expensive than Electric heating"
"","","","","","",""
"","Aug","2","","18.89","9.445",""
"","","","","","",""
"","Sep","159","","135.95","0.85503144654088",""
"","","","","","",""
"","Oct","745","","583.61","0.78336912751678",""
"","","","","","",""
"","Nov","2900","","2361.36","0.81426206896552",""
"","","","","","",""
"","Dec","5734","","3876.82","0.67611091733519",""
"","","","","","",""
"","Jan","5955","","4827.91","0.81073215785055",""
"","","","","","",""
"","Feb","6189","","5080.99","0.82097107771853",""
"","","","","","",""
"","Mar","4496","","4146.06","0.92216637010676",""
"","","","","","",""
"","Apr","2262","","1873.98","0.82846153846154",""
"","","","","","",""
"","May","763","","651.46","0.85381389252949",""
"","","","","","",""
"","Jun","63","","67.13","1.0655555555556",""
"","","","","","",""
"","","29269","","23642.56","0.80776794560798",""
"Buidling Total Cost","Buidling Total Cost","","","71979.48","",""
"","","","","","",""
"03-HRD-A330","HUMAN RESOURCE DEPT (HDR)","3,158 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","2133","12.7","159.5464","0.074799062353493","Electric used increase steady since 12-13."
"","","","","","",""
"","Aug","1661","8.96","100.9652","0.060785791691752",""
"","","","","","",""
"","Sep","1994","12.16","129.4755","0.064932547642929",""
"","","","","","",""
"","Oct","3043","18.85","182.8423","0.060086197831088",""
"","","","","","",""
"","Nov","6135","18.95","436.9512","0.071222689486553",""
"","","","","","",""
"","Dec","7916","25.31","536.9801","0.067834777665488",""
"","","","","","",""
"","Jan","9818","29.02","1213.3592","0.12358517009574",""
"","","","","","",""
"","Feb","9201","24.39","868.1243","0.094351081404195",""
"","","","","","",""
"","Mar","8444","27.78","788.0693","0.093328908100426",""
"","","","","","",""
"","Apr","5213","22.38","388.0958","0.07444768847113",""
"","","","","","",""
"","May","2970","15.53","262.1183","0.08825531986532",""
"","","","","","",""
"","Jun","1903","10.13","151.4559","0.079587966368891",""
"","","","","","",""
"","","60431","","5217.9835","0.086346138571263",""
"Buidling Total Cost","Buidling Total Cost","","","5217.9835","",""
"","","","","","",""
"03-JACOBS-A580&03-ALFIER-A581","JACOBS & Alfeiro Ctr","113,238 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","71725","","5364.96","0.074799024050192",""
